Title,Published_date,Likes,Views
I Survived 50 Hours In A Maximum Security Prison,2021-06-26,4386850,280558459
"Hit The Target, Win $300,000",2021-06-12,3771238,204421243
Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01,3613098,252764747
I Got Hunted By A Real Bounty Hunter,2021-04-24,4341702,228413983
"Extreme $100,000 Game of Tag!",2021-04-17,3974949,260941503
"Would You Sit In Snakes For $10,000?",2021-04-10,5712033,357635344
"I Bought The World's Largest Mystery Box! ($500,000)",2021-04-03,5472747,277417892
I Spent 50 Hours Buried Alive,2021-03-27,8343003,331930309
"Offering People $100,000 To Quit Their Job",2021-03-13,3517765,164380374
I Sold My House For $1,2021-03-06,3996079,175415135
"I Donated $300,000 To People In Need",2021-02-13,3019167,56034680
"I Ate $100,000 Golden Ice Cream",2021-01-22,6090734,289656192
I Bought Everything In 5 Stores,2021-01-09,5611579,189319526
"Youtube Rewind 2020, Thank God It's Over",2021-01-01,5042829,72845565
"I Put 1,000,000,000 Christmas Lights On A House (World Record)",2020-12-23,2993327,128926729
I Opened A Restaurant That Pays You To Eat At It,2020-12-19,5158404,197243873
"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2020-12-15,6949085,228365206
"Steal This $100,000 Diamond, You Keep It",2020-11-28,3691305,225100437
"Press This Button To Win $100,000!",2020-11-14,4777680,342999131
I Survived 24 Hours Straight In Ice,2020-10-29,4226741,176689614
I Uber’d People And Let Them Keep The Car,2020-10-24,4159563,146028311
I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10,4087882,252250605
Hi Me In 5 Years,2020-10-04,7213599,140815456
"Would You Rather Have A Giant Diamond or $100,000?",2020-09-26,3043717,194177979
"I Gave My 40,000,000th Subscriber 40 Cars",2020-09-19,4793038,201479520
I Am The World’s Greatest Samurai,2020-09-18,14325552,471573025
Why I Haven’t Been Uploading,2020-09-17,2796678,58941639
"Get This Random Person 1,000,000 Subscribers",2020-09-05,2645005,86535991
Would YOU Rather Have A Lamborghini or This House?,2020-08-22,4121741,225202057
"Last To Leave $800,000 Island Keeps It",2020-08-15,5831753,283741940
I Bought A Private Island,2020-08-13,3982004,179285505
"I Spent $1,000,000 On Lottery Tickets and WON",2020-08-08,3370129,145497603
I Ate The World’s Largest Slice Of Pizza,2020-08-01,4735548,301024370
I Adopted EVERY Dog In A Dog Shelter,2020-07-23,5011466,266282575
"I Bought The World's Largest Firework ($600,000)",2020-07-03,5372212,241973601
I Broke Into A House,2020-06-25,3922158,201919910
"Would You Rather Have $100,000 OR This Mystery Key?",2020-06-13,4156170,258513272
I Built The World's Largest Lego Tower,2020-06-06,3572504,201895512
I Spent 50 Hours In Solitary Confinement,2020-05-30,5078626,332430867
If You Click This Video I'll Give My Friend .001$,2020-05-23,7518674,223414154
"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",2020-05-07,1410578,47248761
Videos I Could Not Upload...,2020-04-30,4115666,170975492
I Spent 24 Hours In A Doomsday Bunker,2020-04-11,3420759,224584164
"Giving $1,000,000 Of Food To People In Need",2020-03-27,1955722,67328654
I Ran A Marathon In The World's Largest Shoes,2020-03-21,3535903,185380436
"$70,000 Extreme Hide And Seek - Challenge",2020-03-13,2798936,157361562
Anything You Can Fit In The Circle I’ll Pay For,2020-03-07,5285247,319605888
"I Ate A $70,000 Golden Pizza",2020-02-29,4487758,275427093
"Lamborghini Race, Winner Keeps Lamborghini",2020-02-08,2750811,148234423
I Gave My Credit Card To Random People,2020-02-01,4105119,197768181
I Went Back To Boy Scouts For A Day,2020-01-25,2314608,128899260
"$60,000 Extreme Hide And Seek - Challenge",2020-01-17,2956090,172081092
"How I Gained 15,000,000 Subscribers In 1 Year",2020-01-03,899392,19674415
Important Youtube Announcement (please watch),2019-12-28,2429234,38746952
"Giving 10,000 Presents To Kids For Christmas",2019-12-23,3153959,81200045
"Spending $1,000,000 In 24 Hours",2019-12-21,4818858,202261468
"Last To Take Hand Off $1,000,000 Keeps It",2019-12-19,3449638,145169245
"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2019-12-14,1503993,67748334
"Last To Leave Toilet Wins $1,000,000 (Part 3)",2019-12-07,1963130,103331600
I Ordered Pizza And Tipped The House,2019-12-05,4367095,151874726
"Last to Stop Swinging Wins $1,000,000 (Part 2)",2019-11-30,2374486,144626809
"$50,000 Game Of Extreme Hide And Seek - Challenge",2019-11-28,3114237,165729283
I Opened A FREE BANK,2019-11-23,3025697,125622260
"Going Around A Ferris Wheel 1,000 Times Straight",2019-11-16,2607184,129194535
"Last To Fall Wins $1,000,000 (Part 1)",2019-11-14,3166846,166880677
Surviving 24 Hours Straight In The Bermuda Triangle,2019-11-09,4433305,258287122
"I Spent $100,000 On Lottery Tickets And Won!",2019-10-31,1432234,57595342
"Planting 20,000,000 Trees, My Biggest Project Ever!",2019-10-25,4541267,114783065
"Last To Take Hand Off Boat, Keeps It",2019-10-19,2150976,134541464
"I Searched 100 Dumpsters, Here's What I Found",2019-10-12,3166987,225104731
"Going Through The Same Drive Thru 1,000 Times",2019-10-05,5175622,302382281
"Donating $100,000 To Random Streamers",2019-09-28,1899249,66003434
